Name,Description,Combined Group,Unique Machines,Unique UserID, Count F,Count H,EULA Machines
,"",_1,9,5,7,2,9
,"",_3,4,4,4,0,4
,"",_7,3,3,3,0,3
,"",_9,3,2,1,0,1
,"",_10,3,3,3,0,3
,"",_2,2,2,2,0,2
,"",_4,2,1,2,0,2
,"",_11,2,2,2,0,2
,"",_14,2,1,2,0,2
,"",_17,2,2,2,0,2
,"",_18,2,2,2,0,2
,"",_19,2,2,2,0,2
,"",_25,2,2,2,0,2
,"",_75,2,1,2,0,2
,"",_139,2,1,2,0,2
,"",_5,1,1,1,0,1
,"",_6,1,1,1,0,1
,"",_8,1,2,1,0,1
,"",_12,1,1,1,0,1
,"",_13,1,1,1,0,1
,"",_15,1,1,1,0,1
,"",_16,1,1,1,0,1
,"",_20,1,1,1,0,1
,"",_21,1,1,1,0,1
,"",_22,1,1,0,0,0
,"",_23,1,1,1,0,1
,"",_24,1,1,1,0,1
,"",_26,1,1,1,0,1
,"",_27,1,1,0,0,0
,"",_28,1,1,1,0,1
,"",_29,1,1,1,0,1
,"",_30,1,1,1,0,1
,"",_31,1,1,1,0,1
,"",_32,1,1,1,0,1
,"",_33,1,1,1,0,1
,"",_34,1,1,1,0,1
,"",_35,1,1,1,0,1
,"",_36,1,1,1,0,1
,"",_37,1,1,0,0,0
,"",_38,1,1,0,1,1
,"",_39,1,1,1,0,1
,"",_40,1,1,1,0,1
,"",_41,1,1,1,0,1
,"",_42,1,1,1,0,1
,"",_43,1,1,1,0,1
,"",_44,1,1,1,0,1
,"",_45,1,1,1,0,1
,"",_46,1,1,1,0,1
,"",_47,1,1,1,0,1
,"",_48,1,1,1,0,1
,"",_49,1,1,1,0,1
,"",_50,1,1,0,0,0
,"",_51,1,1,1,0,1
,"",_52,1,1,1,0,1
,"",_53,1,1,1,0,1
,"",_54,1,1,1,0,1
,"",_55,1,1,0,1,1
,"",_56,1,1,1,0,1
,"",_57,1,1,1,0,1
,"",_58,1,1,1,0,1
,"",_59,1,1,1,0,1
,"",_60,1,1,0,1,1
,"",_61,1,1,1,0,1
,"",_62,1,1,1,0,1
,"",_63,1,1,0,1,1
,"",_64,1,1,1,0,1
,"",_65,1,1,1,0,1
,"",_66,1,1,0,0,0
,"",_67,1,1,1,0,1
,"",_68,1,1,1,0,1
,"",_69,1,1,1,0,1
,"",_70,1,1,1,0,1
,"",_71,1,1,1,0,1
,"",_72,1,1,1,0,1
,"",_73,1,1,1,0,1
,"",_74,1,1,0,1,1
,"",_76,1,1,1,0,1
,"",_77,1,1,1,0,1
,"",_78,1,1,1,0,1
,"",_79,1,1,1,0,1
,"",_80,1,1,1,0,1
,"",_81,1,1,1,0,1
,"",_82,1,1,1,0,1
,"",_83,1,1,0,1,1
,"",_84,1,1,1,0,1
,"",_85,1,1,1,0,1
,"",_86,1,1,1,0,1
,"",_87,1,1,1,0,1
,"",_88,1,1,1,0,1
,"",_89,1,1,1,0,1
,"",_90,1,1,1,0,1
,"",_91,1,1,1,0,1
,"",_92,1,1,1,0,1
,"",_93,1,1,1,0,1
,"",_94,1,1,0,0,0
,"",_95,1,1,1,0,1
,"",_96,1,1,1,0,1
,"",_97,1,1,1,0,1
,"",_98,1,1,1,0,1
,"",_99,1,1,1,0,1
,"",_100,1,1,1,0,1
,"",_101,1,1,1,0,1
,"",_102,1,1,1,0,1
,"",_103,1,1,1,0,1
,"",_104,1,1,1,0,1
,"",_105,1,1,1,0,1
,"",_106,1,1,1,0,1
,"",_107,1,1,1,0,1
,"",_108,1,1,1,0,1
,"",_109,1,1,1,0,1
,"",_110,1,1,1,0,1
,"",_111,1,1,1,0,1
,"",_112,1,1,1,0,1
,"",_113,1,1,1,0,1
,"",_114,1,1,1,0,1
,"",_115,1,1,0,0,0
,"",_116,1,1,1,0,1
,"",_117,1,1,1,0,1
,"",_118,1,1,1,0,1
,"",_119,1,1,1,0,1
,"",_120,1,1,1,0,1
,"",_121,1,1,1,0,1
,"",_122,1,1,1,0,1
,"",_123,1,1,1,0,1
,"",_124,1,1,1,0,1
,"",_125,1,1,1,0,1
,"",_126,1,1,0,0,0
,"",_127,1,1,1,0,1
,"",_128,1,1,1,0,1
,"",_129,1,1,1,0,1
,"",_130,1,1,1,0,1
,"",_131,1,1,1,0,1
,"",_132,1,1,0,0,0
,"",_133,1,1,1,0,1
,"",_134,1,1,1,0,1
,"",_135,1,1,1,0,1
,"",_136,1,1,1,0,1
,"",_137,1,1,1,0,1
,"",_138,1,1,1,0,1
,"",_140,1,1,1,0,1
,"",_141,1,1,1,0,1
,"",_142,1,1,1,0,1
,"",_143,1,1,1,0,1
,"",_144,1,1,1,0,1
,"",_145,1,1,1,0,1
,"",_146,1,1,1,0,1
,"",_147,1,1,1,0,1
,"",_148,1,1,1,0,1
,"",_149,1,1,1,0,1
,"",_150,1,1,1,0,1

